Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
40,Chadrac Akolo,cd COD,FWMF,Amiens,fr Ligue 1,24,1995,15,5,544,6,0.33,0.17,0.33,0,0,0.17,0,0.33,0.17,0.5,0.33,0.5,0.17,0.17,0.2,0.37,0.17,0.2,0.37,0.17,0.37,Matches,debc2f28
41,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,24,1995,18,12,1142,12.7,0,0,0,0,0,0.16,0,0,0,0,0,0,0.01,0.01,0,0.02,0.01,0,0.01,0.01,0.01,Matches,6ec6fde0
42,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,28,27,2498,27.8,0.04,0.04,0.04,0,0,0,0,0.04,0.04,0.07,0.04,0.07,0.03,0.03,0.08,0.1,0.03,0.07,0.1,0.03,0.1,Matches,05439de2
43,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,21,1998,17,17,1400,15.6,0,0,0,0,0,0.19,0,0,0,0,0,0,0.04,0.04,0.07,0.11,0.04,0.07,0.11,0.04,0.11,Matches,5.31E+70
44,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,24,11,1174,13,0.54,0.08,0.46,0.08,0.08,0.46,0,0.54,0.08,0.61,0.46,0.54,0.55,0.48,0.16,0.65,0.54,0.16,0.7,0.48,0.64,Matches,834d0be5
45,Jordi Alba,es ESP,DF,Barcelona,es La Liga,30,1989,27,25,2187,24.3,0.08,0.21,0.08,0,0,0.29,0,0.08,0.21,0.29,0.08,0.29,0.05,0.05,0.14,0.18,0.04,0.14,0.18,0.04,0.18,Matches,4.60E+197
46,Luis Alberto,es ESP,MF,Lazio,it Serie A,26,1992,36,36,3113,34.6,0.17,0.43,0.14,0.03,0.03,0.14,0,0.17,0.43,0.61,0.14,0.58,0.21,0.18,0.31,0.49,0.21,0.31,0.52,0.18,0.49,Matches,5294a83f
47,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36,36,3237,36,0.03,0,0.03,0,0,0.25,0,0.03,0,0.03,0.03,0.03,0.04,0.04,0.01,0.05,0.04,0.01,0.05,0.04,0.05,Matches,4bd414c1
48,Marc Albrighton,eng ENG,MFDF,Leicester City,eng Premier League,29,1989,20,9,867,9.6,0,0.31,0,0,0,0.21,0,0,0.31,0.31,0,0.31,0.06,0.06,0.21,0.27,0.06,0.2,0.27,0.06,0.27,Matches,b827d5b3
49,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,25,1993,13,11,924,10.3,0.39,0.1,0.39,0,0,0.1,0,0.39,0.1,0.49,0.39,0.49,0.31,0.31,0.16,0.46,0.31,0.15,0.46,0.31,0.46,Matches,a7a9d95a
50,Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,25,1993,11,6,530,5.9,0.85,0.17,0.85,0,0,0,0,0.85,0.17,1.02,0.85,1.02,0.64,0.64,0.17,0.81,0.64,0.17,0.81,0.64,0.81,Matches,a7a9d95a
51,Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,24,20,1771,19.7,0.15,0,0.15,0,0,0.36,0,0.15,0,0.15,0.15,0.15,0.13,0.13,0.05,0.18,0.13,0.05,0.18,0.13,0.18,Matches,77e84962
52,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,28,1991,27,20,1927,21.4,0.09,0.09,0.09,0,0,0.47,0,0.09,0.09,0.19,0.09,0.19,0.07,0.07,0.04,0.12,0.08,0.04,0.11,0.08,0.11,Matches,036bba5f
53,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,1989,33,33,2957,32.9,0.06,0.06,0.06,0,0,0.21,0,0.06,0.06,0.12,0.06,0.12,0.03,0.03,0.03,0.07,0.03,0.03,0.07,0.03,0.07,Matches,f7d50789
54,Haitam Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,22,21,1916,21.3,0.05,0.05,0.05,0,0,0.19,0,0.05,0.05,0.09,0.05,0.09,0.01,0.01,0.06,0.07,0.01,0.06,0.07,0.01,0.07,Matches,4085f08e
55,Álex Alegría,es ESP,FWMF,Mallorca,es La Liga,26,1992,6,0,109,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,46166b49
56,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,21,1998,4,2,172,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches,6c811eb7
57,Carles Aleñá,es ESP,MFFW,Betis,es La Liga,21,1998,17,7,735,8.2,0.12,0,0.12,0,0,0.12,0,0.12,0,0.12,0.12,0.12,0.13,0.13,0.02,0.16,0.14,0.02,0.16,0.14,0.16,Matches,6c811eb7
58,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,11,9,901,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,0.01,0,0.01,Matches,8fa8f8d2
59,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,1998,38,35,3175,35.3,0.11,0.37,0.11,0,0,0.14,0,0.11,0.37,0.48,0.11,0.48,0.08,0.08,0.28,0.36,0.08,0.28,0.36,0.08,0.36,Matches,cd1acf9d
60,Enrico Alfonso,it ITA,GK,Brescia,it Serie A,31,1988,4,4,279,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,95adf1e1
61,Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,27,1992,28,17,1563,17.4,0.34,0.06,0.34,0,0,0.06,0,0.35,0.06,0.4,0.35,0.4,0.3,0.3,0.08,0.39,0.3,0.08,0.39,0.3,0.39,Matches,bdedd861
62,Alisson,br BRA,GK,Liverpool,eng Premier League,26,1992,29,29,2543,28.3,0,0.04,0,0,0,0,0.04,0,0.04,0.04,0,0.04,0,0,0.02,0.02,0,0.02,0.02,0,0.02,Matches,7a2e46a8
63,Allan,br BRA,MF,Napoli,it Serie A,28,1991,23,16,1280,14.2,0.14,0.07,0.14,0,0,0.21,0,0.14,0.07,0.21,0.14,0.21,0.05,0.05,0.08,0.13,0.05,0.08,0.12,0.05,0.12,Matches,cc700722
64,Dele Alli,eng ENG,MFFW,Tottenham,eng Premier League,23,1996,25,21,1847,20.5,0.39,0.2,0.34,0.05,0.05,0.1,0,0.39,0.19,0.58,0.34,0.54,0.35,0.31,0.1,0.4,0.35,0.1,0.44,0.31,0.4,Matches,cea4ee8f
65,Miguel Almirón,py PAR,MFFW,Newcastle Utd,eng Premier League,25,1994,36,35,3021,33.6,0.12,0.06,0.12,0,0,0.15,0,0.12,0.06,0.18,0.12,0.18,0.19,0.19,0.05,0.24,0.19,0.05,0.24,0.19,0.24,Matches,862a1c15
66,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,28,1990,18,15,1430,15.9,0.25,0.13,0.25,0,0,0.25,0,0.25,0.13,0.38,0.25,0.38,0.13,0.13,0.14,0.26,0.13,0.14,0.26,0.13,0.26,Matches,f4290206
67,Mickaël Alphonse,gp GLP,DF,Dijon,fr Ligue 1,30,1989,17,15,1378,15.3,0,0.07,0,0,0,0.13,0,0,0.07,0.07,0,0.07,0.01,0.01,0.02,0.03,0.01,0.02,0.03,0.01,0.03,Matches,0a63446f
68,Sergio Álvarez,es ESP,MFDF,Eibar,es La Liga,27,1992,18,14,1147,12.7,0,0,0,0,0,0.47,0,0,0,0,0,0,0.02,0.02,0.02,0.04,0.02,0.02,0.04,0.02,0.04,Matches,88d91621
69,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,32,1986,2,2,180,2,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,8875b8c9
70,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,24,1995,32,32,2810,31.2,0,0,0,0,0,0.06,0,0,0,0,0,0,0.04,0.04,0.02,0.05,0.04,0.02,0.05,0.04,0.05,Matches,3ecc11d8
71,Bruno Alves,pt POR,DF,Parma,it Serie A,37,1981,33,31,2671,29.7,0,0,0,0,0,0.13,0,0,0,0,0,0,0.03,0.03,0.02,0.05,0.03,0.02,0.05,0.03,0.05,Matches,585a73a8
72,Steven Alzate,co COL,MFDF,Brighton,eng Premier League,20,1998,19,12,1188,13.2,0,0,0,0,0,0.08,0,0,0,0,0,0,0.09,0.09,0.05,0.14,0.09,0.05,0.14,0.09,0.14,Matches,ad1f61f3
73,Ibrahim Amadou,fr FRA,DFMF,Norwich City,eng Premier League,26,1993,11,8,759,8.4,0,0,0,0,0,0.12,0,0,0,0,0,0,0.12,0.12,0,0.12,0.11,0,0.12,0.11,0.12,Matches,9260926b
74,Ibrahim Amadou,fr FRA,MF,Leganés,es La Liga,26,1993,10,9,770,8.6,0,0,0,0,0,0.23,0,0,0,0,0,0,0.05,0.05,0,0.05,0.04,0,0.04,0.04,0.04,Matches,9260926b
75,Romain Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,29,1989,26,18,1695,18.8,0.05,0.05,0.05,0,0,0.27,0,0.05,0.05,0.11,0.05,0.11,0.02,0.02,0.05,0.06,0.02,0.05,0.06,0.02,0.06,Matches,d7bf3d19
76,Amath,sn SEN,MF,Getafe,es La Liga,23,1996,7,0,66,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f3b1d9a2
77,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,25,1994,26,24,2164,24,0.04,0.04,0.04,0,0,0.38,0,0.04,0.04,0.08,0.04,0.08,0.02,0.02,0.05,0.08,0.02,0.05,0.08,0.02,0.08,Matches,22721b88
78,Thierry Ambrose,gp GLP,FW,Metz,fr Ligue 1,22,1997,18,4,548,6.1,0,0,0,0,0,0.16,0,0,0,0,0,0,0.21,0.21,0.08,0.3,0.21,0.09,0.3,0.21,0.3,Matches,2945f4b7
79,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,21,1998,20,17,1633,18.1,0,0.11,0,0,0,0.17,0,0,0.11,0.11,0,0.11,0.04,0.04,0.02,0.06,0.04,0.02,0.06,0.04,0.06,Matches,bcc81786
80,Nadiem Amiri,de GER,MFDF,Leverkusen,de Bundesliga,22,1996,30,22,1857,20.6,0.05,0.1,0.05,0,0,0.15,0,0.05,0.1,0.15,0.05,0.15,0.12,0.12,0.29,0.4,0.12,0.29,0.4,0.12,0.4,Matches,555d5edd
81,Ethan Ampadu,wls WAL,DF,RB Leipzig,de Bundesliga,18,2000,3,0,81,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.22,0,0.22,0.19,0,0.19,0.19,0.19,Matches,10b9fa99
82,Opoku Ampomah,gh GHA,FWMF,Düsseldorf,de Bundesliga,23,1996,12,5,500,5.6,0,0,0,0,0,0.18,0,0,0,0,0,0,0.16,0.16,0.05,0.21,0.17,0.06,0.22,0.17,0.22,Matches,e7199efb
83,Sofyan Amrabat,ma MAR,MF,Hellas Verona,it Serie A,22,1996,34,33,2919,32.4,0.03,0.03,0,0.03,0.03,0.31,0.06,0.03,0.03,0.06,0,0.03,0.06,0.03,0.05,0.09,0.06,0.05,0.11,0.04,0.09,Matches,5a2cb25d
84,Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,23,1996,18,17,1531,17,0.06,0,0.06,0,0,0.18,0,0.06,0,0.06,0.06,0.06,0.05,0.05,0.01,0.06,0.05,0.01,0.06,0.05,0.06,Matches,e34fc66d
85,Djavan Anderson,nl NED,DFMF,Lazio,it Serie A,24,1995,6,2,167,1.9,0,0,0,0,0,0.53,0,0,0,0,0,0,0.05,0.05,0,0.05,0.05,0,0.05,0.05,0.05,Matches,ca241ad3
86,Felipe Anderson,br BRA,MFFW,West Ham,eng Premier League,26,1993,25,20,1497,16.6,0.06,0.24,0.06,0,0,0.06,0,0.06,0.24,0.3,0.06,0.3,0.15,0.15,0.19,0.33,0.15,0.19,0.33,0.15,0.33,Matches,9f1893b9
87,Sebastian Andersson,se SWE,FW,Union Berlin,de Bundesliga,28,1991,33,31,2682,29.8,0.4,0.03,0.37,0.03,0.07,0.17,0,0.4,0.03,0.44,0.37,0.4,0.41,0.36,0.05,0.41,0.41,0.05,0.46,0.36,0.41,Matches,b4cf5806
88,Florin Andone,ro ROU,MFFW,Brighton,eng Premier League,26,1993,3,1,73,0.8,1.25,0,1.25,0,0,0,1.25,1.23,0,1.23,1.23,1.23,0.13,0.13,0,0.25,0.18,0.06,0.24,0.18,0.24,Matches,dc008610
89,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,28,1990,26,23,2054,22.8,0.09,0.04,0.09,0,0,0.26,0,0.09,0.04,0.13,0.09,0.13,0.04,0.04,0.05,0.09,0.04,0.05,0.09,0.04,0.09,Matches,ef9c1c95
90,Lorenzo Andrenacci,it ITA,GK,Brescia,it Serie A,24,1995,6,5,531,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,fe471a89
91,Robert Andrich,de GER,MF,Union Berlin,de Bundesliga,24,1994,30,30,2572,28.6,0.03,0.07,0.03,0,0,0.45,0.03,0.03,0.07,0.1,0.03,0.1,0.07,0.07,0.07,0.14,0.07,0.07,0.14,0.07,0.14,Matches,e0b113a7
92,Victorien Angban,ci CIV,MF,Metz,fr Ligue 1,22,1996,20,11,1029,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,0.01,0,0.01,0.01,0.01,Matches,d8992b84
93,Miguel Ángel Guerrero,es ESP,FW,Leganés,es La Liga,29,1990,13,9,790,8.8,0.11,0,0.11,0,0.11,0,0,0.11,0,0.11,0.11,0.11,0.27,0.19,0.07,0.25,0.27,0.07,0.34,0.19,0.25,Matches,b35db3f6
94,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,35,1984,13,13,1170,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,011d8c56
95,José Ángel,es ESP,DF,Eibar,es La Liga,29,1989,28,27,2360,26.2,0.04,0.04,0.04,0,0,0.15,0,0.04,0.04,0.08,0.04,0.08,0.02,0.02,0.09,0.11,0.02,0.09,0.12,0.02,0.12,Matches,3024e383
96,Angeliño,es ESP,DF,Manchester City,eng Premier League,22,1997,6,4,423,4.7,0,0,0,0,0,0.21,0,0,0,0,0,0,0.04,0.04,0.26,0.3,0.04,0.26,0.31,0.04,0.31,Matches,3.09E+100
97,Angeliño,es ESP,DF,RB Leipzig,de Bundesliga,22,1997,13,12,1095,12.2,0.08,0.16,0.08,0,0,0.16,0,0.08,0.16,0.25,0.08,0.25,0.06,0.06,0.19,0.25,0.06,0.19,0.25,0.06,0.25,Matches,3.09E+100
98,Faustino Anjorin,eng ENG,FW,Chelsea,eng Premier League,17,2001,1,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0.05,0.05,Matches,b105919e
99,Peter Ankersen,dk DEN,DF,Genoa,it Serie A,28,1990,19,11,1063,11.8,0,0.08,0,0,0,0.17,0,0,0.08,0.08,0,0.08,0.07,0.07,0.06,0.14,0.07,0.06,0.13,0.07,0.13,Matches,df525574
100,Cristian Ansaldi,ar ARG,DFMF,Torino,it Serie A,32,1986,27,21,1768,19.6,0.2,0.2,0.2,0,0,0.46,0,0.2,0.2,0.41,0.2,0.41,0.07,0.07,0.15,0.22,0.07,0.15,0.22,0.07,0.22,Matches,bbafc0c4
