Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
85,Nordin Amrabat,ma MAR,MFFW,Watford,eng Premier League,29,1987,29,25,2091,23.2,0,0.13,0,0,0,0.17,0,0,0.13,0.13,0,0.13,Matches,7c2a398c
86,Jon Ander Serantes,es ESP,GK,Leganés,es La Liga,26,1989,13,13,1109,12.3,0,0,0,0,0,0.16,0,0,0,0,0,0,Matches,983ccabe
87,Felipe Anderson,br BRA,FWMF,Lazio,it Serie A,23,1993,36,33,2908,32.3,0.12,0.25,0.09,0.03,0.03,0.15,0,0.12,0.25,0.37,0.09,0.34,Matches,9f1893b9
88,Florin Andone,ro ROU,FW,La Coruña,es La Liga,23,1993,37,32,2893,32.1,0.37,0.06,0.37,0,0,0.19,0,0.37,0.06,0.44,0.37,0.44,Matches,dc008610
89,Benjamin André,fr FRA,MF,Rennes,fr Ligue 1,25,1990,36,36,3215,35.7,0,0.08,0,0,0,0.17,0,0,0.08,0.08,0,0.08,Matches,ef9c1c95
90,Marco Andreolli,it ITA,DF,Inter,it Serie A,30,1986,6,4,362,4,0.25,0,0.25,0,0,0,0,0.25,0,0.25,0.25,0.25,Matches,13d820de
91,Yoann Andreu,fr FRA,DF,Angers,fr Ligue 1,27,1989,16,16,1367,15.2,0,0,0,0,0,0.2,0,0,0,0,0,0,Matches,872cd68c
92,Victorien Angban,ci CIV,MF,Granada,es La Liga,19,1996,10,8,682,7.6,0,0,0,0,0,0.53,0,0,0,0,0,0,Matches,d8992b84
93,Miguel Ángel Guerrero,es ESP,FW,Leganés,es La Liga,26,1990,31,25,2139,23.8,0.21,0.04,0.17,0.04,0.04,0.13,0,0.21,0.04,0.25,0.17,0.21,Matches,b35db3f6
94,Miguel Ángel Moyá,es ESP,GK,Atlético Madrid,es La Liga,32,1984,9,8,770,8.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches,011d8c56
95,José Ángel,es ESP,DF,Villarreal,es La Liga,26,1989,7,7,630,7,0,0.14,0,0,0,0.29,0,0,0.14,0.14,0,0.14,Matches,3024e383
96,Gabriele Angella,it ITA,DFMF,Udinese,it Serie A,27,1989,14,10,1017,11.3,0.09,0,0.09,0,0,0.27,0,0.09,0,0.09,0.09,0.09,Matches,0c971997
97,Benjamin Angoua,ci CIV,DF,Guingamp,fr Ligue 1,29,1986,7,6,538,6,0,0,0,0,0,0,0,0,0,0,0,0,Matches,de715534
